SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5973 Bellingham Dr,Castro Valley,CA,94552,1398000,4,3.0,Columbia,2830,7139,1986,1,494,52,Active,,,http://www.redfin.com/CA/Castro-Valley/5973-Bellingham-Dr-94552/home/625217,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40932000,N,Y,37.7259725,-122.0605957
MLS Listing,,Single Family Residential,4627 Mira Loma St,Castro Valley,CA,94546,900000,3,2.0,Castro Valley,1524,9747,1956,1,591,,Active,,,http://www.redfin.com/CA/Castro-Valley/4627-Mira-Loma-St-94546/home/1388500,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40932342,N,Y,37.7113549,-122.0722262
MLS Listing,,Single Family Residential,5852 Cold Water,Castro Valley,CA,94552,1288000,4,2.5,Greenridge,2228,11550,1974,1,578,,Active,,,http://www.redfin.com/CA/Castro-Valley/5852-Cold-Water-Dr-94552/home/1418085,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40931997,N,Y,37.7169151,-122.0443908
MLS Listing,,Single Family Residential,2222 Pomar Vista St,San Leandro,CA,94578,689000,3,1.0,El Portal,1008,5000,1954,5,684,,Active,,,http://www.redfin.com/CA/San-Leandro/2222-Pomar-Vista-Ave-94578/home/891128,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40932564,N,Y,37.6965385,-122.0995219
MLS Listing,,Single Family Residential,2350 Arlington Ct,San Leandro,CA,94578,725000,3,1.5,Fairmont Terrace,1136,14027,1952,6,638,,Active,,,http://www.redfin.com/CA/San-Leandro/2350-Arlington-Ct-94578/home/1747797,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40932527,N,Y,37.7083516,-122.1103051
MLS Listing,,Single Family Residential,19220 Parsons Ave,Castro Valley,CA,94546,889000,2,1.0,Castro Valley,1076,6500,1940,7,826,,Active,,,http://www.redfin.com/CA/Castro-Valley/19220-Parsons-Ave-94546/home/1417715,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40932503,N,Y,37.7057761,-122.0821245
MLS Listing,,Single Family Residential,19065 Carlton Ave,Castro Valley,CA,94546,875000,2,2.0,Castro Valley,1385,11900,1960,7,632,,Active,,,http://www.redfin.com/CA/Castro-Valley/19065-Carlton-Ave-94546/home/1470111,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40932500,N,Y,37.7053401,-122.0947787
MLS Listing,,Single Family Residential,5815 Cold Water Dr,Castro Valley,CA,94552,1150000,4,2.5,Castro Valley,2356,13680,1972,10,488,,Active,,,http://www.redfin.com/CA/Castro-Valley/5815-Cold-Water-Dr-94552/home/1675989,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40932344,N,Y,37.7155107,-122.0437248
MLS Listing,,Multi-Family (2-4 Unit),20565 Stanton Ave,Castro Valley,CA,94546,849000,,,Castro Valley,1796,5863,1961,11,473,,Active,,,http://www.redfin.com/CA/Castro-Valley/20565-Stanton-Ave-94546/home/1846247,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40932184,N,Y,37.6939986,-122.0902416
MLS Listing,,Multi-Family (2-4 Unit),20897 Locust St,Hayward,CA,94541,1295000,6,3.0,Hayward,2456,14000,1957,14,527,,Active,,,http://www.redfin.com/CA/Hayward/20897-Locust-St-94541/home/1303354,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40931955,N,Y,37.686506,-122.096687
